                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                 0.6372,                0.41785,                 1.1716,                0.76482,                0.66667,                0.74463,                0.37053,                 1.9013,                 1.5761,                 2.6332,              0.0006536,              0.0006536,              0.0006536
                    139,                0.65851,                0.44664,                 1.2026,                 0.7961,                0.53333,                0.61856,                0.37048,                 1.7556,                 1.8656,                  2.476,              0.0006437,              0.0006437,              0.0006437
                    140,                0.63148,                0.44447,                 1.1894,                0.89542,                    0.6,                0.68836,                0.32667,                 2.0532,                 1.9306,                  2.737,              0.0006338,              0.0006338,              0.0006338
                    141,                0.63732,                0.43959,                 1.1669,                0.61058,                0.66667,                0.59168,                 0.3091,                 1.8792,                 2.0173,                 2.6351,              0.0006239,              0.0006239,              0.0006239
                    142,                0.62443,                0.42737,                  1.155,                0.62364,                0.66303,                0.63504,                0.34334,                 1.8275,                 1.9954,                 2.5159,               0.000614,               0.000614,               0.000614
                    143,                0.66432,                  0.481,                 1.2159,                0.85848,                0.53333,                0.64386,                0.33212,                 1.9374,                 2.1014,                 2.5768,              0.0006041,              0.0006041,              0.0006041
                    144,                0.62793,                0.43989,                 1.1856,                0.77712,                0.53333,                0.56869,                0.29691,                  1.927,                 2.2491,                 2.5542,              0.0005942,              0.0005942,              0.0005942
                    145,                0.62129,                0.43666,                 1.1742,                0.71927,                0.46667,                0.56689,                0.31963,                 1.6062,                 2.2805,                  2.195,              0.0005843,              0.0005843,              0.0005843
                    146,                0.63082,                0.44032,                 1.1813,                0.81107,                    0.6,                0.65937,                0.37244,                 1.7917,                 1.8342,                 2.2911,              0.0005744,              0.0005744,              0.0005744
                    147,                0.63551,                0.46503,                 1.1983,                0.82039,                0.66667,                0.66525,                0.36295,                 1.7711,                 1.7879,                 2.3323,              0.0005645,              0.0005645,              0.0005645
                    148,                0.61761,                0.40653,                 1.1519,                0.57253,                0.66667,                0.62127,                0.31821,                 1.9569,                  1.789,                 2.6809,              0.0005546,              0.0005546,              0.0005546
                    149,                0.57417,                0.39094,                 1.1243,                0.68142,                    0.6,                0.60355,                0.30392,                 1.9349,                 1.5841,                  2.791,              0.0005447,              0.0005447,              0.0005447
                    150,                0.61278,                0.42037,                 1.1469,                0.71301,                0.73333,                 0.6868,                0.32005,                 1.9571,                 1.6218,                 2.7327,              0.0005348,              0.0005348,              0.0005348
                    151,                0.58072,                0.42458,                 1.1418,                0.74195,                    0.8,                0.78647,                0.38401,                 1.7664,                 1.4538,                 2.4707,              0.0005249,              0.0005249,              0.0005249
